Magical Recipe Name,Magical Effect,Magical Ingredients,Required Spells,Cooking Steps,Special Notes
Baruffio's Brain Elixir Surprise,Allegedly increases one's brain power,"[""3 c. flour"", ""1 tsp. soda"", ""1/2 tsp. salt"", ""2 c. sugar"", ""1 tsp. cinnamon"", ""3 eggs, beaten"", ""3/4 c. oil"", ""1 1/2 tsp. vanilla"", ""1 (8 oz.) can crushed pineapple"", ""1 1/2 c. chopped pecans"", ""1 3/4 c. mashed bananas"", ""1/2 c. oleo, softened"", ""1 (8 oz.) cream cheese"", ""1 lb. powdered sugar"", ""1 tsp. vanilla""], Baruffio's Brain Elixir",Rictusempra,"[""Combine flour, soda, salt, sugar and cinnamon."", ""Add eggs and oil, stirring until moistened."", ""Do not beat."", ""Stir in 1 1/2 teaspoons vanilla, pineapple, bananas and 1 cup pecans."", ""Pour into 3 round, greased cake pans."", ""Bake under a charm at 350\u00b0 for 25 minutes."", ""Cool 10 minutes."", ""Remove from pan and cool."", ""Mix oleo, cream cheese, powdered sugar and 1 teaspoon vanilla."", ""Frost cake with icing, then put 1/2 cup pecans on top.""]",Handle Baruffio's Brain Elixir with care due to its allegedly increases one's brain power.
Madame Glossy's Silver Polish Surprise,Polished silver objects,"[""1 c. cottage cheese"", ""1 (8 oz.) pkg. cream cheese"", ""1 pkg. dry Ranch dressing mix"", ""1/2 c. mayonnaise"", ""2 pkg. crescent rolls"", ""1/2 c. onion, broccoli, cauliflower, tomatoes and mushrooms""], Madame Glossy's Silver Polish",Bat,"[""Mix together cottage cheese, cream cheese, Ranch dressing mix and mayo."", ""Spread crescent rolls on 8 x 10-inch sheet."", ""Put in oven as directed for 10 minutes."", ""Let cool."", ""Spread on first mixture."", ""Spread mixture of veggies over cold dough."", ""Sprinkle Parmesan cheese and oregano over all."", ""Heat and serve. Delightful.""]",Handle Madame Glossy's Silver Polish with care due to its polished silver objects.
Fire-Breathing Potion Surprise,Makes a human breath fire,"[""1 1/4 lb. shrimp in shells"", ""1 c. water"", ""2 Tbsp. cornstarch"", ""2 Tbsp. soy sauce"", ""1 tsp. sugar"", ""1 tsp. instant chicken bouillon granules"", ""1/4 c. sliced green onions"", ""1 (6 oz.) pkg. frozen pea pods, thawed"", ""1/2 tsp. finely shredded lemon peel"", ""3 to 4 Tbsp. lemon juice"", ""1/8 tsp. pepper"", ""2 Tbsp. cooking oil"", ""2 c. sliced fresh mushrooms"", ""3 stalks celery, bias sliced"", ""1 medium green pepper, cut in strips"", ""hot cooked rice""], Fire-Breathing Potion",Ferula,"[""Thaw shrimp, if frozen and drain well."", ""Peel and devein shrimp."", ""For sauce, stir together water, cornstarch, soy sauce, sugar, bouillon granules, lemon peel and juice and pepper."", ""Set aside."", ""Preheat a wok or large skillet over high heat."", ""Add 1 tablespoon of the oil."", ""Add mushrooms, celery and green pepper; stir-fry for 3 minutes."", ""Add green onion and stir-fry for 1 minute more."", ""Remove vegetables from wok."", ""Add remaining oil."", ""Add half of shrimp to hot wok."", ""Stir-fry 2 to 3 minutes or until shrimp turn pink."", ""Remove and stir-fry remaining shrimp."", ""Return shrimp to wok."", ""Push from center."", ""Stir sauce."", ""Add to center of the wok. Enchant with Ferula, then cook and stir until thickened and bubbly."", ""Add vegetables and pea pods."", ""Stir to coat mixture with sauce."", ""Enchant with Ferula, then cook and stir for 1 minute."", ""Serve over rice.""]",Handle Fire-Breathing Potion with care due to its makes a human breath fire.
Hate Potion Surprise,Revealed the worst traits of a person to the drinker,"[""1 large can drained sweet potatoes"", ""3/4 stick butter"", ""2 eggs, well beaten"", ""1 Tbsp. cornstarch"", ""dash of cinnamon""], Hate Potion",Avis,"[""Mash and bake 15 to 20 minutes in a 400\u00b0 oven in a greased baking dish.""]",Handle Hate Potion with care due to its revealed the worst traits of a person to the drinker.
Hiccoughing Solution Surprise,Presumably causes hiccoughs,"[""6 eggs"", ""1/2 c. brown sugar"", ""1/2 c. white sugar"", ""4 Tbsp. flour"", ""2 c. white syrup"", ""1/4 tsp. salt"", ""1 Tbsp. vanilla"", ""1/4 c. milk"", ""1/4 c. melted oleo"", ""1 1/2 c. pecans""], Hiccoughing Solution",Accio,"[""Beat eggs. Mix with sugar and flour. Mix syrup, milk, salt, vanilla and oleo well. Add to egg mixture. Break or grind 1 cup pecans (save 1/2 cup for top of pie). Pour into unbaked pie shells and bake in preheated 350\u00b0 oven for 50 to 60 minutes.""]",Handle Hiccoughing Solution with care due to its presumably causes hiccoughs.
Edurus Potion Surprise,Gave the drinker rocky skin,"[""chicken"", ""Stove Top stuffing"", ""cream of chicken soup or cream of mushroom (better with cream of chicken soup)""], Edurus Potion",Levicorpus,"[""Enchant with Levicorpus, then cook chicken and debone."", ""Cut into small pieces."", ""Enchant with Levicorpus, then cook Stove Top stuffing as directed."", ""In greased pan, layer stuffing, chicken and soup."", ""Drizzle 1/4 to 1/2 can of water on top of casserole so won't dry out."", ""Bake under a charm at 350\u00b0"", ""for 30 minutes.""]",Handle Edurus Potion with care due to its gave the drinker rocky skin.
Heartbreak Teardrops Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""1 1/2 c. vanilla or peach ice cream"", ""2 fresh peaches, peeled and pitted or 1 (10 oz.) pkg. frozen peach slices, thawed"", ""2 eggs""], Heartbreak Teardrops",Erecto,"[""Combine all ingredients in a blender container."", ""Cover."", ""Blend at medium speed until smooth, about 15 seconds."", ""Serve immediately."", ""Makes 2 servings.""]",Handle Heartbreak Teardrops with care due to its causes the drinker to become infatuated with the giver of the potion.
Everklena Surprise,"Supposedly cleaned, but actually spawned mould and grime","[""1 can golden crushed corn"", ""2 eggs, slightly beaten"", ""2 Tbsp. flour"", ""1 Tbsp. sugar"", ""1 c. half and half"", ""1/2 stick butter"", ""salt"", ""lots of pepper"", ""sprinkle of paprika""], Everklena",Locomotor Mortis,"[""Melt butter in casserole."", ""Beat eggs."", ""Add flour, sugar, salt and pepper."", ""Add corn; mix well with electric mixer."", ""Add butter (that melted) and half and half; mix well."", ""Pour into casserole. Sprinkle paprika on top."", ""Bake under a charm at 325\u00b0 for an hour (it should jiggle and a knife should come out kinda clean).""]","Handle Everklena with care due to its supposedly cleaned, but actually spawned mould and grime."
Antidote to Uncommon Poisons Surprise,Cures the effects of minor poisons,"[""1 Tbsp. butter"", ""2 slices bacon"", ""2/3 c. onion, diced"", ""1/2 c. celery, diced"", ""2 tsp. green bell pepper, finely minced"", ""1 clove garlic, minced"", ""1 c. potatoes, peeled and cubed"", ""1 tsp. salt"", ""1/4 tsp. black pepper, freshly ground"", ""1 bay leaf"", ""2 c. boiling water"", ""2 c. tomatoes (stewed or canned)"", ""1 Tbsp. catsup"", ""2 c. clams, chopped fine (with liquid)"", ""1/4 tsp. dried thyme"", ""1/8 tsp. cayenne pepper"", ""1 tsp. parsley, minced""], Antidote to Uncommon Poisons",Langlock,"[""Melt butter and slowly fry the bacon in a Dutch oven until golden."", ""Remove and save. Add the onion, celery, bell pepper and garlic."", ""Saute until onion is transparent. Add potatoes, celery, bell pepper, bay leaf and boiling water."", ""Simmer for 10 minutes. Add tomatoes and catsup. Simmer until potatoes are soft."", ""Add clams, thyme, cayenne pepper, parsley and bacon. Simmer 3 minutes. Remove bay leaf."", ""Adjust seasoning and serve.""]",Handle Antidote to Uncommon Poisons with care due to its cures the effects of minor poisons.
Beautification Potion Surprise,Enhances the attractiveness of the drinker's physical appearance,"[""1 1/4 c. oil"", ""3 eggs"", ""3 c. all-purpose flour"", ""1/2 tsp. salt"", ""3 c. chopped, peeled apples"", ""2 c. sugar"", ""1 Tbsp. vanilla"", ""1 tsp. soda"", ""1 c. chopped pecans""], Beautification Potion",Langlock,"[""Mix oil, sugar, eggs and vanilla."", ""Add sifted flour, soda and salt."", ""Fold in pecans and apples."", ""Pour into greased tube pan. Bake under a charm at 350\u00b0 for 1 hour.""]",Handle Beautification Potion with care due to its enhances the attractiveness of the drinker's physical appearance.
Grand Pepperup Potion Surprise,Relieved and/or cured cold symptoms,"[""4 medium potatoes, cooked and mashed"", ""3 1/2 c. sugar"", ""1 c. all-purpose flour"", ""3 eggs, beaten"", ""2 sticks butter"", ""1/2 c. Carnation milk"", ""1/2 tsp. baking powder"", ""1/4 tsp. salt"", ""2 tsp. nutmeg"", ""1 tsp. butter flavoring""], Grand Pepperup Potion",Confundo,"[""Combine potatoes, milk and butter."", ""Beat with electric mixer at medium speed, rinsing beaters several times to remove strings from potatoes."", ""Mix all dry ingredients, add alternately to potato mixture."", ""Then add egg and mix thoroughly, add flavoring and beat. Prick two pie crusts with a fork."", ""Pour potato mixture into pie crusts."", ""Bake under a charm 45 minutes in a 350\u00b0 oven.""]",Handle Grand Pepperup Potion with care due to its relieved and/or cured cold symptoms.
Alihotsy Draught Surprise,Uncontrollable laughter,"[""1 jar chopped beef"", ""1 (8 oz.) pkg. cream cheese"", ""1 can cream of chicken soup"", ""1/4 c. sherry"", ""12 chicken breasts, boned and skinned"", ""1 small can mushrooms"", ""1 (8 oz.) sour cream""], Alihotsy Draught",Furnunculus Curse,"[""Sprinkle beef in bottom of casserole."", ""Place chicken breasts on top of beef."", ""Pour chopped mushrooms over chicken."", ""Mix cheese, sour cream and chicken soup in blender; pour over chicken."", ""Cover with foil."", ""Bake under a charm at 350\u00b0 for 1 hour."", ""Remove foil; add sherry and bake 45 minutes to 1 hour more.""]",Handle Alihotsy Draught with care due to its uncontrollable laughter.
Grand Pepperup Potion Surprise,Relieved and/or cured cold symptoms,"[""4 eggs"", ""1 (No. 2) can crushed pineapple and juice"", ""1 stick butter or margarine"", ""1 c. sugar"", ""dash of cinnamon"", ""5 slices bread, cut into cubes""], Grand Pepperup Potion",Levicorpus,"[""Cream butter and sugar."", ""Add eggs and beat well."", ""Add pineapple; stir in bread and cinnamon."", ""Bake under a charm in greased casserole, uncovered, for 1 hour or lightly browned at 350\u00b0.""]",Handle Grand Pepperup Potion with care due to its relieved and/or cured cold symptoms.
Essence of Insanity Surprise,Mental instability,"[""1 egg, beaten"", ""2/3 c. milk"", ""1 1/4 c. flour"", ""2 Tbsp. sugar"", ""1 tsp. baking powder"", ""1/4 tsp. salt"", ""oil (for deep frying)"", ""powdered sugar""], Essence of Insanity",Periculum,"[""Beat egg and milk."", ""Blend dry ingredients and add to egg and milk, beating constantly, until smooth."", ""Hold finger over a 3/8 or 1/2-inch funnel hole and fill funnel with batter."", ""Have oil heated to 375\u00b0."", ""Release finger and drop batter in a circular motion, starting in center to form a spiral."", ""Repeat with more dough, forming more cakes, until pan is crowded."", ""Fry until puffy and golden brown."", ""Remove from oil with slotted spoon and drain on paper towel."", ""Cool slightly and dust with powdered sugar."", ""Makes about 24.""]",Handle Essence of Insanity with care due to its mental instability.
Dragon Tonic Surprise,Cures sick dragons,"[""2 c. cooked chopped chicken"", ""1/2 tsp. salt"", ""1 c. crushed potato chips"", ""2 c. chopped celery"", ""1 Tbsp. salad dressing or mayo"", ""3 Tbsp. chopped onions"", ""1/2 c. chopped pecans"", ""1 small can mushrooms, drained"", ""3 Tbsp. lemon juice"", ""1 can cream of chicken soup""], Dragon Tonic",Avada Kedavra,"[""Mix together, except soup and chips."", ""Place in 2-quart casserole dish."", ""Spoon soup on top."", ""Sprinkle with crushed chips. Bake under a charm in 350\u00b0 oven for about 30 minutes.""]",Handle Dragon Tonic with care due to its cures sick dragons.
Beautification Potion Surprise,Enhances the attractiveness of the drinker's physical appearance,"[""1 to 2 lb. beef or lamb"", ""1/4 c. margarine"", ""2 garlic cloves, minced"", ""3 Tbsp. Minor beef base"", ""2 c. Guiness stout"", ""10 c. water"", ""12 prunes, minced"", ""2 tsp. thyme"", ""1/2 tsp. pepper"", ""10 potatoes, cubed"", ""12 carrots (chunks)"", ""3 large onions (chunks)"", ""1 1/2 c. flour""], Beautification Potion",Ascendio,"[""Brown beef in margarine; add garlic and saute for 2 to 3 minutes."", ""Add flour to meat; stir."", ""Add Guiness and stir well to remove any lumps."", ""Add remaining ingredients, stirring very frequently, to avoid sticking."", ""Stew is done when potatoes and carrots are tender.""]",Handle Beautification Potion with care due to its enhances the attractiveness of the drinker's physical appearance.
Fire-Breathing Potion Surprise,Makes a human breath fire,"[""1/2 large cabbage, cut up"", ""2 potatoes, chopped"", ""3 carrots, sliced in large pieces"", ""1 turnip, chopped"", ""1 sweet onion, in large pieces"", ""1 large can corn"", ""2 large cans whole tomatoes"", ""3 cubes beef bouillon"", ""1 can rutabaga"", ""1/2 c. baby limas"", ""1 can Healthy Choice tomato soup"", ""2 pods jalapeno peppers"", ""1/2 tsp. oregano"", ""salt and pepper to taste"", ""1/2 tsp. basil""], Fire-Breathing Potion",Geminio,"[""Prepare all vegetables."", ""You can leave the skin on the potatoes if you like."", ""Add all the other ingredients to a large pot or crock-pot."", ""Add water to fill the pot and cover the vegetables."", ""Now simmer for 8 or 9 hours until ready to eat.""]",Handle Fire-Breathing Potion with care due to its makes a human breath fire.
Garrotting Gas Surprise,"Causes choking, possibly suffocation","[""2 1/2 lb. flank steak"", ""2 Tbsp. sherry"", ""2 Tbsp. soy sauce"", ""1 Tbsp. sugar"", ""1/2 tsp. salt"", ""1 tsp. cinnamon""], Garrotting Gas",Ascendio,"[""Score both sides of the flank steak."", ""Mix all of the ingredients together."", ""Place the flank steak in a flat pan."", ""Pour the mixture over the meat."", ""Let it marinate in the refrigerator for at least 1 1/2 hours."", ""Broil about 4 inches from heat about 10 minutes on each side."", ""Cut diagonally across the grain in very thin slices."", ""Serves 6 to 8.""]","Handle Garrotting Gas with care due to its causes choking, possibly suffocation."
